"Date","Long Carry","Short Carry"
"1/1/2016","1.05%","-2.99%"
"2/1/2016","1.09%","-3.01%"
"3/1/2016","1.01%","-3.08%"
"4/1/2016","1.26%","-3.02%"
"5/1/2016","1.32%","-3.07%"
"6/1/2016","1.14%","-2.95%"
"7/1/2016","1.11%","-2.97%"
"8/1/2016","1.22%","-3.04%"
"9/1/2016","1.03%","-2.9%"
"10/1/2016","0.89%","-2.90%"
"11/1/2016","0.97%","-3.01%"
"12/1/2016","0.96%","-2.97%"
"1/1/2017","0.65%","-2.42%"
"2/1/2017","0.78%","-2.50%"
"3/1/2017","0.66%","-2.38%"
"4/1/2017","0.34%","-2.10%"
"5/1/2017","0.32%","-2.22%"
"6/1/2017","0.27%","-2.15%"
"7/1/2017","0.09%","-2.13%"
"8/1/2017","-0.01%","-1.82%"
"9/1/2017","-0.14%","-1.71%"
"10/1/2017","-0.09%","-1.75%"
"11/1/2017","-0.13%","-1.74%"
"12/1/2017","-0.34%","-1.38%"
"1/1/2018","-0.59%","-1.17%"
"2/1/2018","-0.47%","-1.20%"
"3/1/2018","-0.54%","-1.12%"
"4/1/2018","-0.38%","-1.20%"
"5/1/2018","-0.65%","-0.84%"
"6/1/2018","-0.80%","-0.71%"
"7/1/2018","-0.65%","-0.87%"
"8/1/2018","-0.96%","-0.74%"
"9/1/2018","-0.95%","-0.75%"
"10/1/2018","-1.00%","-0.87%"
"11/1/2018","-1.25%","-0.64%"
"12/1/2018","-1.35%","-0.54%"
"1/1/2019","-1.39%","-0.50%"
"2/1/2019","-1.42%","-0.51%"
"3/1/2019","-1.83%","-0.45%"
"4/1/2019","-1.79%","-0.44%"
"5/1/2019","-1.69%","-0.415"
"6/1/2019","-1.95%","-0.48%"
"7/1/2019","-1.99%","-0.49%"
"8/1/2019","-2.23%","-0.12%"
"9/1/2019","-2.23%","-0.12%"
"10/1/2019","-2.15%","-0.10%"
"11/1/2019","-2.11%","-0.10%"
"12/1/2019","-2.11%","-0.08%"
"1/1/2020","-2.15%","-0.08%"
"2/1/2020","-1.76%","-0.17%"
"3/1/2020","-1.96%","-0.19%"
"4/1/2020","-1.76%","-0.42%"
"5/1/2020","-1.33%","-0.53%"
"6/1/2020","-1.36%","-0.62%"
"7/1/2020","-1.16%","-0.59%"
"8/1/2020","-1.09%","-0.75%"
"9/1/2020","-1.09%","-0.75%"
"10/1/2020","-1.08%","-0.83%"
"11/1/2020","-1.04%","-0.85%"
"12/1/2020","-1.04%","-0.85%"
"","",""
"","",""
