Date,aus_unemployment rate,usa_unemployment rate
1/1/2016,6.043354,4.8
2/1/2016,5.717444,4.9
3/1/2016,5.672294,5
4/1/2016,5.660189,5.1
5/1/2016,5.71953,4.8
6/1/2016,5.66641,4.9
7/1/2016,5.672841,4.8
8/1/2016,5.587458,4.9
9/1/2016,5.624491,5
10/1/2016,5.572135,4.9
11/1/2016,5.762642,4.7
12/1/2016,5.833465,4.7
1/1/2017,5.70919,4.7
2/1/2017,5.885886,4.6
3/1/2017,5.887271,4.4
4/1/2017,5.636843,4.4
5/1/2017,5.539797,4.4
6/1/2017,5.560977,4.3
7/1/2017,5.565654,4.3
8/1/2017,5.489003,4.4
9/1/2017,5.421041,4.3
10/1/2017,5.35039,4.2
11/1/2017,5.421287,4.2
12/1/2017,5.606496,4.1
1/1/2018,5.535525,4
2/1/2018,5.609531,4.1
3/1/2018,5.555048,4
4/1/2018,5.559155,4
5/1/2018,5.386026,3.8
6/1/2018,5.277534,4
7/1/2018,5.259318,3.8
8/1/2018,5.239898,3.8
9/1/2018,4.986863,3.7
10/1/2018,4.979814,3.8
11/1/2018,5.108513,3.8
12/1/2018,5.004922,3.9
1/1/2019,5.081373,4
2/1/2019,5.007784,3.8
3/1/2019,5.135801,3.8
4/1/2019,5.242968,3.6
5/1/2019,5.199353,3.6
6/1/2019,5.201538,3.6
7/1/2019,5.228508,3.7
8/1/2019,5.223804,3.7
9/1/2019,5.160942,3.5
10/1/2019,5.271043,3.6
11/1/2019,5.15723,3.6
12/1/2019,5.046326,3.6
1/1/2020,5.311689,3.5
2/1/2020,5.13366,3.5
3/1/2020,5.271841,4.4
4/1/2020,6.374276,14.7
5/1/2020,7.018559,13.2
6/1/2020,7.353504,11
7/1/2020,7.447802,10.2
8/1/2020,6.758084,8.4
9/1/2020,6.85464,7.9
10/1/2020,6.935992,6.9
11/1/2020,6.832871,6.7
12/1/2020,6.577859,6.7



