"","Time Series","AUD_USD","EUR_USD","GBP_USD"
"0","1/1/2021","ND","ND","ND"
"1","1/4/2021","1.3021","0.8152","0.7364"
"2","1/5/2021","1.2918","0.814","0.7348"
"3","1/6/2021","1.284","0.8124","0.7355"
"4","1/7/2021","1.2902","0.8151","0.737"
"5","1/8/2021","1.288","0.8173","0.7365"
"6","1/11/2021","1.2987","0.8224","0.7406"
"7","1/12/2021","1.2928","0.8216","0.7339"
"8","1/13/2021","1.2919","0.8222","0.7329"
"9","1/14/2021","1.2865","0.8236","0.7316"
"10","1/15/2021","1.2963","0.8268","0.7355"
"11","1/18/2021","1.3017","0.8283","0.7368"
"12","1/19/2021","1.2984","0.8246","0.7342"
"13","1/20/2021","1.2921","0.8262","0.7326"
"14","1/21/2021","1.2887","0.8228","0.7288"
"15","1/22/2021","1.296","0.8217","0.7315"
"16","1/25/2021","1.2969","0.8238","0.7315"
"17","1/26/2021","1.2914","0.8223","0.7285"
"18","1/27/2021","1.3018","0.8263","0.73"
"19","1/28/2021","1.3039","0.8246","0.729"
"20","1/29/2021","1.305","0.8238","0.7289"
"21","2/1/2021","1.311","0.828","0.7312"
"22","2/2/2021","1.3178","0.8315","0.7328"
"23","2/3/2021","1.3126","0.8318","0.7328"
"24","2/4/2021","1.3154","0.8353","0.7317"
"25","2/5/2021","1.3063","0.8313","0.7287"
"26","2/8/2021","1.2995","0.8301","0.7283"
"27","2/9/2021","1.2946","0.8262","0.7249"
"28","2/10/2021","1.2931","0.8244","0.7223"
"29","2/11/2021","1.2891","0.8242","0.7237"
"30","2/12/2021","1.2907","0.8256","0.7226"
"31","2/15/2021","ND","ND","ND"
"32","2/16/2021","1.2885","0.8256","0.7193"
"33","2/17/2021","1.2917","0.8306","0.7218"
"34","2/18/2021","1.2885","0.8277","0.7162"
"35","2/19/2021","1.2717","0.8248","0.7135"
"36","2/22/2021","1.2641","0.8228","0.7112"
"37","2/23/2021","1.2649","0.8231","0.7095"
"38","2/24/2021","1.2611","0.8237","0.7086"
"39","2/25/2021","1.2598","0.819","0.7095"
"40","2/26/2021","1.2924","0.8265","0.717"
"41","3/1/2021","1.2875","0.8301","0.7179"
"42","3/2/2021","1.2795","0.8288","0.7169"
"43","3/3/2021","1.3126","0.8318","0.7328"
"44","3/4/2021","1.2877","0.8325","0.717"
"45","3/5/2021","1.3063","0.8313","0.7287"
"46","3/8/2021","1.3043","0.843","0.723"
"47","3/9/2021","1.2975","0.8408","0.7197"
"48","3/10/2021","1.2946","0.8397","0.719"
"49","3/11/2021","1.2863","0.8356","0.7157"
"50","3/12/2021","1.2895","0.8374","0.7191"
"51","3/15/2021","1.2922","0.8385","0.7196"
"52","3/16/2021","1.2908","0.8398","0.72"
"53","3/17/2021","1.2936","0.8389","0.7195"
"54","3/18/2021","1.2851","0.8388","0.7178"
"55","3/19/2021","1.2911","0.8405","0.7211"
"56","3/22/2021","1.2909","0.8381","0.7219"
"57","3/23/2021","1.3045","0.8426","0.7258"
"58","3/24/2021","1.3136","0.8456","0.7294"
"59","3/25/2021","1.3186","0.8484","0.7285"
"60","3/26/2021","1.3115","0.8482","0.7253"
"61","3/29/2021","1.3091","0.8492","0.7252"
"62","3/30/2021","1.3155","0.853","0.7286"
"63","3/31/2021","1.3137","0.852","0.7253"
"64","4/1/2021","1.315","0.8501","0.7236"
"65","4/2/2021","ND","ND","ND"
"66","4/5/2021","1.3074","0.8473","0.7196"
"67","4/6/2021","1.3069","0.8441","0.7228"
"68","4/7/2021","1.3124","0.8415","0.727"
"69","4/8/2021","1.3077","0.8399","0.7274"
"70","4/9/2021","1.3114","0.8408","0.7286"
"71","4/12/2021","1.3118","0.8396","0.7274"
"72","4/13/2021","1.3106","0.8378","0.7278"
"73","4/14/2021","1.2961","0.8353","0.7256"
"74","4/15/2021","1.2904","0.8354","0.7254"
"75","4/16/2021","1.2924","0.8347","0.7236"
"76","4/19/2021","1.2884","0.8311","0.7156"
"77","4/20/2021","1.291","0.8308","0.717"
"78","4/21/2021","1.2916","0.8318","0.7181"
"79","4/22/2021","1.2955","0.8321","0.7222"
"80","4/23/2021","1.2915","0.8282","0.7212"
"81","4/26/2021","1.2821","0.8276","0.7199"
"82","4/27/2021","1.2868","0.8277","0.7191"
"83","4/28/2021","1.2876","0.8271","0.719"
"84","4/29/2021","1.2869","0.8251","0.7169"
"85","4/30/2021","1.2945","0.8302","0.7225"
"86","5/3/2021","1.2897","0.8292","0.7191"
"87","5/4/2021","1.298","0.8319","0.7207"
"88","5/5/2021","1.2981","0.814","0.7348"
"89","5/6/2021","1.284","0.8124","0.7355"
"90","5/7/2021","1.2902","0.8151","0.737"
"91","5/10/2021","1.2713","0.8224","0.7074"
"92","5/11/2021","1.2755","0.8223","0.7068"
"93","5/12/2021","1.2902","0.8274","0.7099"
"94","5/13/2021","1.2945","0.8278","0.7123"
"95","5/14/2021","1.2865","0.8236","0.7316"
"96","5/17/2021","1.2885","0.823","0.7081"
"97","5/18/2021","1.2827","0.8185","0.7044"
"98","5/19/2021","1.2915","0.8192","0.7086"
"99","5/20/2021","1.2871","0.8186","0.7059"
"100","5/21/2021","1.2917","0.8208","0.7059"
"101","5/24/2021","ND","ND","ND"
"102","5/25/2021","1.2898","0.8165","0.7071"
"103","5/26/2021","1.2906","0.8191","0.7077"
"104","5/27/2021","1.2918","0.82","0.705"
"105","5/28/2021","1.298","0.8209","0.7053"
"106","5/31/2021","1.2924","0.8185","0.7044"
"107","6/1/2021","1.2895","0.8174","0.7059"
"108","6/2/2021","1.2909","0.8914","0.7057"
"109","6/3/2021","1.3045","0.842","0.7086"
"110","6/4/2021","1.2931","0.822","0.7075"
"111","6/7/2021","1.2885","0.8206","0.7053"
"112","6/8/2021","1.2917","0.821","0.707"
"113","6/9/2021","1.2923","0.8205","0.7078"
"114","6/10/2021","1.2903","0.8214","0.7064"
"115","6/11/2021","1.2977","0.8259","0.7084"
"116","6/14/2021","1.2963","0.825","0.7086"
"117","6/15/2021","1.3012","0.825","0.7103"
"118","6/16/2021","1.3007","0.8267","0.7099"
"119","6/17/2021","1.3227","0.8389","0.7179"
"120","6/18/2021","1.3334","0.8422","0.7231"
"121","6/21/2021","1.328","0.8396","0.7188"
"122","6/22/2021","1.3277","0.8391","0.7182"
"123","6/23/2021","1.3191","0.8373","0.7156"
"124","6/24/2021","1.3189","0.8379","0.7185"
"125","6/25/2021","1.3164","0.8372","0.7195"
"126","6/28/2021","1.3217","0.8386","0.7199"
"127","6/29/2021","1.3066","0.8402","0.7226"
"128","6/30/2021","1.3334","0.8432","0.7237"
"129","7/1/2021","ND","ND","ND"
"130","7/2/2021","1.3329","0.8439","0.7246"
"131","7/5/2021","1.3281","0.8428","0.722"
"132","7/6/2021","1.3308","0.8456","0.7241"
"133","7/7/2021","1.3347","0.8471","0.7247"
"134","7/8/2021","1.3453","0.8442","0.7262"
"135","7/9/2021","1.3368","0.8426","0.7216"
"136","7/12/2021","1.3372","0.8433","0.7207"
"137","7/13/2021","1.3411","0.8471","0.7231"
"138","7/14/2021","1.3376","0.8456","0.7212"
"139","7/15/2021","1.3458","0.8468","0.7227"
"140","7/16/2021","1.3497","0.8469","0.7253"
"141","7/19/2021","1.3628","0.8457","0.7308"
"142","7/20/2021","1.3654","0.8493","0.7346"
"143","7/21/2021","1.3616","0.8482","0.7306"
"144","7/22/2021","1.3557","0.8489","0.7265"
"145","7/23/2021","1.3567","0.8497","0.7269"
"146","7/26/2021","1.3555","0.8472","0.7238"
"147","7/27/2021","1.358","0.8458","0.7215"
"148","7/28/2021","1.3614","0.8468","0.7206"
"149","7/29/2021","1.3521","0.8414","0.716"
"150","7/30/2021","1.3605","0.8427","0.7186"
"151","8/2/2021","ND","ND","ND"
"152","8/3/2021","1.354","0.8426","0.7189"
"153","8/4/2021","1.3531","0.8438","0.7188"
"154","8/5/2021","1.3503","0.8446","0.718"
"155","8/6/2021","1.3584","0.8498","0.7204"
"156","8/9/2021","1.3621","0.8511","0.7251"
"157","8/10/2021","1.3614","0.8543","0.7224"
"158","8/11/2021","1.3561","0.8518","0.7212"
"159","8/12/2021","1.3621","0.8522","0.7324"
"160","8/13/2021","1.3571","0.8483","0.7217"
"161","8/16/2021","1.3635","0.8491","0.7221"
"162","8/17/2021","1.3772","0.853","0.7274"
"163","8/18/2021","1.3809","0.854","0.7269"
"164","8/19/2021","1.3964","0.8557","0.732"
"165","8/20/2021","1.4015","0.8556","0.7341"
"166","8/23/2021","1.3883","0.8519","0.7292"
"167","8/24/2021","1.3785","0.8511","0.7287"
"168","8/25/2021","1.3767","0.8508","0.7282"
"169","8/26/2021","1.3796","0.8506","0.7293"
"170","8/27/2021","1.3711","0.8486","0.727"
"171","8/30/2021","1.3706","0.8477","0.7269"
"172","8/31/2021","1.3673","0.8464","0.7266"
"173","9/1/2021","1.3573","0.8443","0.7255"
"174","9/2/2021","1.3515","0.843","0.7236"
"175","9/3/2021","1.3421","0.8413","0.7212"
"176","9/6/2021","ND","ND","ND"
"177","9/7/2021","1.353","0.844","0.7254"
"178","9/8/2021","1.3564","0.846","0.7263"
"179","9/9/2021","1.3553","0.8456","0.7223"
"180","9/10/2021","1.3555","0.8458","0.7218"
"181","9/13/2021","1.358","0.8474","0.7228"
"182","9/14/2021","1.3635","0.846","0.722"
"183","9/15/2021","1.365","0.8465","0.7229"
"184","9/16/2021","1.3712","0.8504","0.7253"
"185","9/17/2021","1.3732","0.8516","0.7267"
"186","9/20/2021","1.3802","0.853","0.732"
"187","9/21/2021","1.3817","0.8527","0.732"
"188","9/22/2021","1.3783","0.8526","0.7329"
"189","9/23/2021","1.3698","0.8518","0.7281"
"190","9/24/2021","1.3787","0.8536","0.7313"
"191","9/27/2021","1.3734","0.8545","0.7295"
"192","9/28/2021","1.3814","0.8561","0.7385"
"193","9/29/2021","1.3906","0.8608","0.7441"
"194","9/30/2021","ND","ND","ND"
"195","10/1/2021","1.3762","0.8622","0.7377"
"196","10/4/2021","1.3725","0.8603","0.7347"
"197","10/5/2021","1.3719","0.8621","0.7337"
"198","10/6/2021","1.3777","0.8661","0.7367"
"199","10/7/2021","1.3683","0.8652","0.7344"
"200","10/8/2021","1.3679","0.8643","0.7338"
"201","10/11/2021","ND","ND","ND"
"202","10/12/2021","1.3589","0.8669","0.7356"
"203","10/13/2021","1.3573","0.8641","0.7332"
"204","10/14/2021","1.3484","0.8626","0.7304"
"205","10/15/2021","1.3483","0.8622","0.7271"
"206","10/18/2021","1.3498","0.8613","0.7283"
"207","10/19/2021","1.3379","0.859","0.7243"
"208","10/20/2021","1.3319","0.8586","0.7241"
"209","10/21/2021","1.3365","0.8594","0.7246"
"210","10/22/2021","1.3373","0.8594","0.7265"
"211","10/25/2021","1.335","0.8614","0.7265"
"212","10/26/2021","1.332","0.862","0.7257"
"213","10/27/2021","1.33","0.8615","0.7278"
"214","10/28/2021","1.3266","0.8571","0.7253"
"215","10/29/2021","1.3302","0.8637","0.7292"
"216","11/1/2021","1.3292","0.863","0.7315"
"217","11/2/2021","1.3439","0.863","0.7339"
"218","11/3/2021","1.3457","0.8633","0.7321"
"219","11/4/2021","1.3511","0.8657","0.7401"
"220","11/5/2021","1.3522","0.8662","0.7419"
"221","11/8/2021","1.3474","0.8632","0.7377"
"222","11/9/2021","1.3547","0.8629","0.7377"
"223","11/10/2021","1.3595","0.8682","0.7426"
"224","11/11/2021","ND","ND","ND"
"225","11/12/2021","1.3661","0.8737","0.7457"
"226","11/15/2021","1.3594","0.8764","0.7446"
"227","11/16/2021","1.3671","0.8821","0.7445"
"228","11/17/2021","1.3752","0.8839","0.742"
"229","11/18/2021","1.3752","0.8804","0.7414"
"230","11/19/2021","1.3801","0.885","0.7433"
"231","11/22/2021","1.3813","0.8889","0.7459"
"232","11/23/2021","1.3851","0.8886","0.7478"
"233","11/24/2021","1.3902","0.893","0.7501"
"234","11/25/2021","1.3913","0.8919","0.7508"
"235","11/26/2021","1.4023","0.8846","0.7499"
"236","11/29/2021","1.4023","0.8873","0.7517"
"237","11/30/2021","1.404","0.8829","0.7522"
"238","12/1/2021","1.4016","0.8828","0.7514"
"239","12/2/2021","1.4092","0.8837","0.7514"
"240","12/3/2021","1.4245","0.8847","0.7552"
"241","12/6/2021","1.4194","0.8862","0.7545"
"242","12/7/2021","1.4065","0.8889","0.7557"
"243","12/8/2021","1.396","0.8825","0.7563"
"244","12/9/2021","1.3991","0.8853","0.7572"
"245","12/10/2021","1.3947","0.8845","0.755"
"246","12/13/2021","1.4028","0.8857","0.7557"
"247","12/14/2021","1.4063","0.8867","0.7558"
"248","12/15/2021","1.402","0.888","0.756"
"249","12/16/2021","1.3909","0.8832","0.7505"
"250","12/17/2021","1.3992","0.8865","0.7537"
"251","12/20/2021","1.4052","0.886","0.7564"
"252","12/21/2021","1.4004","0.8868","0.7546"
"253","12/22/2021","1.3878","0.8832","0.7494"
"254","12/23/2021","1.3812","0.8833","0.7455"
"255","12/24/2021","1.3834","0.8835","0.7459"
"256","12/27/2021","ND","ND","ND"
"257","12/28/2021","ND","ND","ND"
"258","12/29/2021","1.3799","0.882","0.742"
"259","12/30/2021","1.3779","0.8834","0.7409"
"260","12/31/2021","1.3773","0.881","0.74"
"","","","",""
