Date,Long Carry,Short Carry
1/1/2016,-0.79%,-0.10%
2/1/2016,-0.83%,-0.10%
3/1/2016,-0.85%,-0.13%
4/1/2016,-0.95%,0.06%
5/1/2016,-0.97%,0.05%
6/1/2016,-1.07%,0.05%
7/1/2016,-1.32%,0.07%
8/1/2016,-1.26%,0.09%
9/1/2016,-1.34%,0.11%
10/1/2016,-1.36%,0.04%
11/1/2016,-1.39%,0.06%
12/1/2016,-1.36%,0.06%
1/1/2017,-1.78%,0.24%
2/1/2017,-1.67%,0.20%
3/1/2017,-1.69%,0.21%
4/1/2017,-1.98%,0.34%
5/1/2017,-1.94%,0.36%
6/1/2017,-1.92%,0.42%
7/1/2017,-1.93%,0.44%
8/1/2017,-1.99%,0.51%
9/1/2017,-1.99%,0.50%
10/1/2017,-2.11%,0.59%
11/1/2017,-2.05%,0.56%
12/1/2017,-2.22%,0.68%
1/1/2018,-2.34%,0.79%
2/1/2018,-2.44%,0.88%
3/1/2018,-2.58%,0.87%
4/1/2018,-2.58%,0.90%
5/1/2018,-2.76%,1.07%
6/1/2018,-2.92%,1.11%
7/1/2018,-3.03%,1.16%
8/1/2018,-3.15%,1.21%
9/1/2018,-3.17%,1.19%
10/1/2018,-3.48%,1.34%
11/1/2018,-3.45%,1.41%
12/1/2018,-3.50%,1.44%
1/1/2019,-3.55%,1.47%
2/1/2019,-3.53%,1.46%
3/1/2019,-3.90%,1.54%
4/1/2019,-3.94%,1.55%
5/1/2019,-3.94%,1.55%
6/1/2019,-4.06%,1.59%
7/1/2019,-4.01%,1.57%
8/1/2019,-3.99%,1.55%
9/1/2019,-4.03%,1.57%
10/1/2019,-4.02%,1.50%
11/1/2019,-3.96%,1.47%
12/1/2019,-3.63%,1.14%
1/1/2020,-3.59%,1.12%
2/3/2020,-3.43%,1.14%
3/2/2020,-3.44%,1.14%
4/2/2020,-2.83%,0.45%
5/4/2020,-2.24%,0.20%
6/2/2020,-1.89%,0.06%
7/2/2020,-1.81%,-0.06%
8/2/2020,-1.76%,-0.04%
9/2/2020,-1.74%,-0.04%
10/1/2020,-1.70%,-0.03%
11/1/2020,-1.68%,-0.02%
12/1/2020,-1.64%,-0.02%
