,Time Serie,AUSTRALIA - AUSTRALIAN DOLLAR/US$,BRAZIL - REAL/US$,CANADA - CANADIAN DOLLAR/US$,CHINA - RENMINBI/US$,DENMARK - DANISH KRONE/US$,EURO AREA - EURO/US$,GREAT BRITAIN - GREAT BRITAIN POUND/US$,HONG KONG - HONG KONG DOLLAR/US$,INDIA - INDIAN RUPEE/US$,JAPAN - YEN/US$,MALAYSIA - RINGGIT/US$,MEXICO - MEXICAN PESO/US$,NEW ZEALAND - NEW ZELAND DOLLAR/US$,NORWAY - NORWEGIAN KRONE/US$,SINGAPORE - SINGAPORE DOLLAR/US$,SOUTH AFRICA - RAND/US$,SWEDEN - KRONA/US$,SWITZERLAND - FRANC/US$,TAIWAN - NEW TAIWAN DOLLAR/US$,THAILAND - BAHT/US$
0,2006-01-02,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1,2006-01-03,1.3552,2.3362,1.1571,8.069,6.231,0.8348,0.5747,7.7538,44.936,116.35,3.7789,10.6449,1.4677,6.6424,1.6521,6.2329,7.8097,1.2938,32.59,40.76
2,2006-01-04,1.3396,2.302,1.1515,8.0702,6.1713,0.8271,0.5686,7.7533,44.73,116.31,3.7748,10.5872,1.4529,6.5522,1.645,6.1625,7.7249,1.2801,32.29,40.43
3,2006-01-05,1.3365,2.281,1.1619,8.0678,6.1643,0.8264,0.5693,7.7534,44.6,115.96,3.7659,10.591,1.4545,6.5583,1.6466,6.148,7.7092,1.277,31.96,40.26
4,2006-01-06,1.3284,2.2875,1.165,8.0663,6.1375,0.8232,0.5651,7.7531,44.32,114.45,3.7555,10.562,1.4474,6.5242,1.6384,6.087,7.6629,1.2695,32.15,39.83
5,2006-01-09,1.3303,2.26,1.1691,8.0665,6.1814,0.8289,0.5667,7.7507,44.2,114.66,3.7485,10.558,1.4447,6.5742,1.6362,6.075,7.7165,1.2794,31.9,39.73
6,2006-01-10,1.3351,2.2564,1.1628,8.061,6.1831,0.829,0.5667,7.7506,44.14,114.64,3.7485,10.6026,1.4422,6.6249,1.6343,6.114,7.7525,1.2805,31.98,39.79
7,2006-01-11,1.3231,2.272,1.1579,8.0682,6.1453,0.8241,0.5668,7.7509,43.89,113.96,3.7503,10.608,1.4343,6.6183,1.628,6.0575,7.6956,1.2734,32.07,39.66
8,2006-01-12,1.3312,2.2616,1.1624,8.0685,6.1984,0.8309,0.5678,7.7511,43.99,114.31,3.7418,10.5655,1.4426,6.6932,1.6261,6.05,7.7304,1.2859,31.83,39.42
9,2006-01-13,1.3271,2.2652,1.1612,8.0698,6.1634,0.8262,0.5645,7.7513,44.1,114.43,3.7423,10.574,1.4335,6.6413,1.6285,6.005,7.6967,1.2799,31.94,39.49
